Gene name	Mean of ratios
c1739.02c	
c1739.03	1.712
c1739.04c	1.063
c1739.05	0.530
c1739.06c	1.357
c1739.07	0.868
c1739.08c	2.887
c1739.09c	0.641
c1739.10	1.013
c1739.11c	1.188
c1751.02c	0.828
c1751.04	0.675
c1753.05	0.784
c1753.05.rc	1.158
c1773.01	1.289
c1773.02c	2.044
c1773.03c	2.833
c1773.04	1.096
c1773.06c	6.030
c1773.08c	1.278
c1773.09c	1.416
c1773.10c	0.614
c1773.11c	1.053
c1773.12	
c1773.13	1.710
c1773.15	1.367
c1773.16c	1.550
c1773.17c	1.445
c1778.01c	0.380
c1778.02	1.755
c1778.03c	1.159
c1778.05c	1.233
c1778.07	0.923
c1778.08c	1.100
c1778.09	0.865
c1778.09.rc	1.094
c1782.01	1.830
c1782.02c	0.444
c1782.03	0.841
c1782.04	0.907
c1782.05	0.931
c1782.06c	0.869
c1782.08c	0.901
c1782.09c	1.016
c1782.11	0.238
c1782.12c	1.138
c1783.01	0.829
c1783.02c	1.306
c1783.03	0.963
c1783.06c	1.146
c1786.01c	0.922
c1786.02	0.550
c1786.04	
c1795.01c	
c1795.04c	1.184
c1795.05c	0.872
c1795.05c.rc	0.929
c1795.07	0.834
c1795.08c	0.961
c1795.08c.rc	0.931
c1795.09	1.089
c1795.10c	0.909
c1795.12c	0.770
c1795.13	1.102
c17a2.02c	0.711
c17a2.03c	0.880
c17a2.04c	0.736
c17a2.05	1.640
c17a2.06c	1.227
c17a2.07c	1.734
c17a2.08c	0.864
c17a2.10c	1.096
c17a2.11	1.063
c17a2.12	1.290
c17a2.14	1.037
c17a2.15	
c17a3.02	0.856
c17a5.01	1.130
c17a5.04c	0.943
c17a5.05c	1.118
c17a5.06	1.440
c17a5.08	0.767
c17a5.09c	0.822
c17a5.10	0.872
c17a5.12	1.174
c17a5.13	0.711
c17a5.15c	0.565
c17a5.16	1.155
c17a5.18c	1.252
c17c9.05c	1.199
c17c9.06	1.231
c17c9.07	0.904
c17c9.08	1.097
c17c9.11c	0.835
c17c9.12	1.147
c17c9.14	0.742
c17c9.15c	0.964
c17c9.16c	1.740
c17d1.01	1.055
c17d1.02	0.761
c17d1.03c	0.564
c17d1.04	0.905
c17d1.05	0.647
c17d1.06	0.361
